"_uid","code","pin","created_at","assigned_at","updated_at","customer_award_id","reward_cycle_id","cycle_type","program_id",winners_per_draw,cycle_cadence,"cycle_unit","reward_cycle_instance_id2",cycle_sequence,"starting_date","ending_date",reward_cycle_num,"name","reward_cycle_short_description","reward_cycle_long_description","program_name","start_cycle","end_cycle","program_type","status","expiry",read_status,"award_id","customer_id","pin_num","serial_num","award_type","award_code",sequence_number,"start_timestamp","end_timestamp",days_valid,num_ballots,earn_multiple_allowed,"award_class",minutes_required
"2b4bc4c0145a11e9b06f0242ac120008","526092968","247","2019-01-09 22:01:51.752668","2019-01-09 23:46:59.837365","2019-01-09 23:46:59.838007","db3103b0146811e9a81c0242ac120008","c4ffd80003d811e9ac140242ac130004","weekly","f87c2ba6fe2f11e885000242ac130005",100,7,"days","20b2817a03d911e983bc0242ac130004",0,"2018-12-19 21:57:28.000000","2018-12-26 21:57:45.000000",1,"Weekly Draw","Copy TBD","Win a $100 tim hortons gift card!","2018 - Loyalty 1.0","2018-12-12 17:04:09.000000","2019-12-12 17:04:09.000000","calendar","Earned",NULL,0,"361415ca02ed11e9bc730242ac130006","ebb893cc03da11e984e90242ac130005","247","526092968","reward","weekly_coupon_reward",0,"2018-12-18 17:36:47.000000",NULL,90,NULL,1,NULL,NULL
"2b4cbc4a145a11e9b06f0242ac120008","509224203","406","2019-01-09 22:01:51.758994","2019-01-09 23:46:59.889369","2019-01-09 23:46:59.890031","db37dfd2146811e9a81c0242ac120008","c4ffd80003d811e9ac140242ac130004","weekly","f87c2ba6fe2f11e885000242ac130005",100,7,"days","20b2817a03d911e983bc0242ac130004",0,"2018-12-19 21:57:28.000000","2018-12-26 21:57:45.000000",1,"Weekly Draw","Copy TBD","Win a $100 tim hortons gift card!","2018 - Loyalty 1.0","2018-12-12 17:04:09.000000","2019-12-12 17:04:09.000000","calendar","Earned",NULL,0,"361415ca02ed11e9bc730242ac130006","e9580b3003da11e984e90242ac130005","406","509224203","reward","weekly_coupon_reward",0,"2018-12-18 17:36:47.000000",NULL,90,NULL,1,NULL,NULL
"2b4d590c145a11e9b06f0242ac120008","349682173","441","2019-01-09 22:01:51.762973","2019-01-09 23:46:59.927469","2019-01-09 23:46:59.928123","db3fe7fe146811e9a81c0242ac120008","c4ffd80003d811e9ac140242ac130004","weekly","f87c2ba6fe2f11e885000242ac130005",100,7,"days","20b2817a03d911e983bc0242ac130004",0,"2018-12-19 21:57:28.000000","2018-12-26 21:57:45.000000",1,"Weekly Draw","Copy TBD","Win a $100 tim hortons gift card!","2018 - Loyalty 1.0","2018-12-12 17:04:09.000000","2019-12-12 17:04:09.000000","calendar","Earned",NULL,0,"361415ca02ed11e9bc730242ac130006","ec9eb61803da11e9896a0242ac130005","441","349682173","reward","weekly_coupon_reward",0,"2018-12-18 17:36:47.000000",NULL,90,NULL,1,NULL,NULL
"2b4dfe3e145a11e9b06f0242ac120008","180185226","681","2019-01-09 22:01:51.767238","2019-01-09 23:46:59.962550","2019-01-09 23:46:59.963156","db45afcc146811e9a81c0242ac120008","c4ffd80003d811e9ac140242ac130004","weekly","f87c2ba6fe2f11e885000242ac130005",100,7,"days","20b2817a03d911e983bc0242ac130004",0,"2018-12-19 21:57:28.000000","2018-12-26 21:57:45.000000",1,"Weekly Draw","Copy TBD","Win a $100 tim hortons gift card!","2018 - Loyalty 1.0","2018-12-12 17:04:09.000000","2019-12-12 17:04:09.000000","calendar","Earned",NULL,0,"361415ca02ed11e9bc730242ac130006","7518eaa0054c11e987410242ac180004","681","180185226","reward","weekly_coupon_reward",0,"2018-12-18 17:36:47.000000",NULL,90,NULL,1,NULL,NULL
"2b4ec508145a11e9b06f0242ac120008","784071697","608","2019-01-09 22:01:51.772298","2019-01-09 23:47:00.005601","2019-01-09 23:47:00.006316","db4afc70146811e9a81c0242ac120008","c4ffd80003d811e9ac140242ac130004","weekly","f87c2ba6fe2f11e885000242ac130005",100,7,"days","20b2817a03d911e983bc0242ac130004",0,"2018-12-19 21:57:28.000000","2018-12-26 21:57:45.000000",1,"Weekly Draw","Copy TBD","Win a $100 tim hortons gift card!","2018 - Loyalty 1.0","2018-12-12 17:04:09.000000","2019-12-12 17:04:09.000000","calendar","Earned",NULL,0,"361415ca02ed11e9bc730242ac130006","455743f0056c11e98b860242ac190004","608","784071697","reward","weekly_coupon_reward",0,"2018-12-18 17:36:47.000000",NULL,90,NULL,1,NULL,NULL
"2b4fa040145a11e9b06f0242ac120008","739972960","328","2019-01-09 22:01:51.778728","2019-01-09 23:47:00.046568","2019-01-09 23:47:00.047220","db51d00e146811e9a81c0242ac120008","c4ffd80003d811e9ac140242ac130004","weekly","f87c2ba6fe2f11e885000242ac130005",100,7,"days","20b2817a03d911e983bc0242ac130004",0,"2018-12-19 21:57:28.000000","2018-12-26 21:57:45.000000",1,"Weekly Draw","Copy TBD","Win a $100 tim hortons gift card!","2018 - Loyalty 1.0","2018-12-12 17:04:09.000000","2019-12-12 17:04:09.000000","calendar","Earned",NULL,0,"361415ca02ed11e9bc730242ac130006","e5e7fbd603da11e984e90242ac130005","328","739972960","reward","weekly_coupon_reward",0,"2018-12-18 17:36:47.000000",NULL,90,NULL,1,NULL,NULL
"2b517866145a11e9b06f0242ac120008","386478488","280","2019-01-09 22:01:51.789932","2019-01-09 23:47:00.090739","2019-01-09 23:47:00.091394","db57d5c6146811e9a81c0242ac120008","c4ffd80003d811e9ac140242ac130004","weekly","f87c2ba6fe2f11e885000242ac130005",100,7,"days","20b2817a03d911e983bc0242ac130004",0,"2018-12-19 21:57:28.000000","2018-12-26 21:57:45.000000",1,"Weekly Draw","Copy TBD","Win a $100 tim hortons gift card!","2018 - Loyalty 1.0","2018-12-12 17:04:09.000000","2019-12-12 17:04:09.000000","calendar","Earned",NULL,0,"361415ca02ed11e9bc730242ac130006","ec353b2003da11e984e90242ac130005","280","386478488","reward","weekly_coupon_reward",0,"2018-12-18 17:36:47.000000",NULL,90,NULL,1,NULL,NULL
"2b520b46145a11e9b06f0242ac120008","4446254","650","2019-01-09 22:01:51.793846","2019-01-09 23:47:00.127732","2019-01-09 23:47:00.130092","db5e7674146811e9a81c0242ac120008","c4ffd80003d811e9ac140242ac130004","weekly","f87c2ba6fe2f11e885000242ac130005",100,7,"days","20b2817a03d911e983bc0242ac130004",0,"2018-12-19 21:57:28.000000","2018-12-26 21:57:45.000000",1,"Weekly Draw","Copy TBD","Win a $100 tim hortons gift card!","2018 - Loyalty 1.0","2018-12-12 17:04:09.000000","2019-12-12 17:04:09.000000","calendar","Earned",NULL,0,"361415ca02ed11e9bc730242ac130006","e9580b3003da11e984e90242ac130005","650","4446254","reward","weekly_coupon_reward",0,"2018-12-18 17:36:47.000000",NULL,90,NULL,1,NULL,NULL
"2b52ccd4145a11e9b06f0242ac120008","822661318","311","2019-01-09 22:01:51.798739","2019-01-09 23:47:00.177912","2019-01-09 23:47:00.178605","db652352146811e9a81c0242ac120008","c4ffd80003d811e9ac140242ac130004","weekly","f87c2ba6fe2f11e885000242ac130005",100,7,"days","20b2817a03d911e983bc0242ac130004",0,"2018-12-19 21:57:28.000000","2018-12-26 21:57:45.000000",1,"Weekly Draw","Copy TBD","Win a $100 tim hortons gift card!","2018 - Loyalty 1.0","2018-12-12 17:04:09.000000","2019-12-12 17:04:09.000000","calendar","Earned",NULL,0,"361415ca02ed11e9bc730242ac130006","e89e1e0003da11e9896a0242ac130005","311","822661318","reward","weekly_coupon_reward",0,"2018-12-18 17:36:47.000000",NULL,90,NULL,1,NULL,NULL
"2b536bda145a11e9b06f0242ac120008","734714119","579","2019-01-09 22:01:51.802780","2019-01-09 23:47:00.218300","2019-01-09 23:47:00.218885","db6bfcae146811e9a81c0242ac120008","c4ffd80003d811e9ac140242ac130004","weekly","f87c2ba6fe2f11e885000242ac130005",100,7,"days","20b2817a03d911e983bc0242ac130004",0,"2018-12-19 21:57:28.000000","2018-12-26 21:57:45.000000",1,"Weekly Draw","Copy TBD","Win a $100 tim hortons gift card!","2018 - Loyalty 1.0","2018-12-12 17:04:09.000000","2019-12-12 17:04:09.000000","calendar","Earned",NULL,0,"361415ca02ed11e9bc730242ac130006","e72423bc03da11e9896a0242ac130005","579","734714119","reward","weekly_coupon_reward",0,"2018-12-18 17:36:47.000000",NULL,90,NULL,1,NULL,NULL
