Date,Query,HashTag,Mentions
2018-05-20,"(""rick snyder"" OR ""governor snyder"")",mpc2018,5
2018-05-20,"(""rick snyder"" OR ""governor snyder"")",migov,5
2018-05-20,"(""rick snyder"" OR ""governor snyder"")",medicaid,1
2018-05-20,"(""rick snyder"" OR ""governor snyder"")",flintwatercrisis,1
2018-05-20,"(""rick snyder"" OR ""governor snyder"")",intevacares,1
2018-05-20,"(""rick snyder"" OR ""governor snyder"")",mipolitics,1
2018-05-20,"(""rick snyder"" OR ""governor snyder"")",vetosb897,1
2018-05-20,"(""rick snyder"" OR ""governor snyder"")",mileg,1
2018-05-20,"(""rick snyder"" OR ""governor snyder"")",voteblue,1
2018-05-21,"(""rick snyder"" OR ""governor snyder"")",agsdailyshare,5
2018-05-21,"(""rick snyder"" OR ""governor snyder"")",miched,5
2018-05-21,"(""rick snyder"" OR ""governor snyder"")",wolverineslead,5
2018-05-21,"(""rick snyder"" OR ""governor snyder"")",intevacares,1
2018-05-23,"(""rick snyder"" OR ""governor snyder"")",mileg,7
2018-05-23,"(""rick snyder"" OR ""governor snyder"")",vetosb897,2
2018-05-23,"(""rick snyder"" OR ""governor snyder"")",mitreasury,1
2018-05-23,"(""rick snyder"" OR ""governor snyder"")",migov,1
2018-05-23,"(""rick snyder"" OR ""governor snyder"")",propertytaxes,1
2018-05-23,"(""rick snyder"" OR ""governor snyder"")",healthymichigan,1
2018-05-23,"(""rick snyder"" OR ""governor snyder"")",mimarshallplan,1
2018-05-24,"(""rick snyder"" OR ""governor snyder"")",migov,4
2018-05-24,"(""rick snyder"" OR ""governor snyder"")",mileg,3
2018-05-24,"(""rick snyder"" OR ""governor snyder"")",propertytaxes,3
2018-05-24,"(""rick snyder"" OR ""governor snyder"")",mitreasury,3
2018-05-24,"(""rick snyder"" OR ""governor snyder"")",stopsb897,2
2018-05-24,"(""rick snyder"" OR ""governor snyder"")",savehealthymichigan,2
2018-05-24,"(""rick snyder"" OR ""governor snyder"")",vetosb897,1
2018-05-24,"(""rick snyder"" OR ""governor snyder"")",copolitics,1
2018-05-25,"(""rick snyder"" OR ""governor snyder"")",migov,2
2018-05-25,"(""rick snyder"" OR ""governor snyder"")",flintwatercrisis,1
2018-05-25,"(""rick snyder"" OR ""governor snyder"")",flint,1
2018-05-25,"(""rick snyder"" OR ""governor snyder"")",michigan,1
2018-05-25,"(""rick snyder"" OR ""governor snyder"")",harrison,1
2018-05-25,"(""rick snyder"" OR ""governor snyder"")",snyder,1
2018-05-25,"(""rick snyder"" OR ""governor snyder"")",nevertoohot,1
2018-05-25,"(""rick snyder"" OR ""governor snyder"")",trainsmarternotlonger,1
2018-05-25,"(""rick snyder"" OR ""governor snyder"")",puremichigan,1
2018-05-25,"(""rick snyder"" OR ""governor snyder"")",springtimeinmichigan,1
2018-05-25,"(""rick snyder"" OR ""governor snyder"")",liftheavyrunhard,1
2018-05-20,"""bill schuette""",mipolitics,1
2018-05-20,"""bill schuette""",migov,1
2018-05-21,"""bill schuette""",standupfightback,18
2018-05-21,"""bill schuette""",migov,2
2018-05-21,"""bill schuette""",yourvoteyourfuture,1
2018-05-22,"""bill schuette""",shadyschuette,4
2018-05-22,"""bill schuette""",miched,4
2018-05-22,"""bill schuette""",fail,1
2018-05-22,"""bill schuette""",michigan,1
2018-05-22,"""bill schuette""",lgbtq,1
2018-05-22,"""bill schuette""",loveislove,1
2018-05-22,"""bill schuette""",lgbtqprotections,1
2018-05-22,"""bill schuette""",equalityforall,1
2018-05-23,"""bill schuette""",standupfightback,64
2018-05-23,"""bill schuette""",shadyschuette,7
2018-05-24,"""bill schuette""",stopline5,5
2018-05-24,"""bill schuette""",migov,4
2018-05-24,"""bill schuette""",shadyschuette,2
