Date,Category ,Summary,Link 
2018-05-16,Planned Parenthood,Trump is considering a “domestic gag rule” which would essentially apply the same restrictions as the global rule (where NGOs cannot actively promote abortion as a method of family planning). Would force PP to either stop discussing abortion with their patients or stop receiving Title X funds (federal grant for family planning services). ,http://nymag.com/daily/intelligencer/2018/05/trumps-proposed-domestic-gag-rule-hits-planned-parenthood.html
2018-05-16,LCV,Renewable energy developers are worried about a ballot campaign aiming to double Michigan’s renewable portfolio standard to 30% by 2020. Concerned it will make renewable energy a political issue again. ,https://energynews.us/2018/05/14/midwest/renewable-developers-fear-michigan-campaign-will-create-political-wedge/
2018-05-16,Michigan General ,Michigan’s small business climate is losing momentum having dipped in its “entrepreneurial climate” score since 2016. ,https://mibiz.com/item/25798-entrepreneurial-report-shows-michigan%E2%80%99s-progress-slowing
2018-05-16,Michigan General ,Voter turnout for the May vote (focused mostly on school millage and bond requests) was so small it’s sparking interest in consolidating Michigan’s election calendar (i.e. eliminating May elections). ,http://michiganradio.org/post/genesee-county-clerk-says-michigan-should-drop-may-vote
2018-05-16,Michigan General ,Political parties are showing increased interest in the upcoming Michigan State University board election (the first since the Nassar trails). Voters this fall will be replacing two Republican trustees (currently the board is split evenly between Dems and Repubs.),https://lansingstatejournal.com/story/news/local/2018/05/14/larry-nassar-scandal-michigan-state-board/594079002/
2018-05-16,Michigan Gubernatorial Race,Much better link to watch the debate from last week. ,https://bridgemi.com/public-sector/watch-dem-gop-michigan-governor-candidates-share-stage-first-time
2018-05-16,Michigan Gubernatorial Race,State staffers in Schuette’s office were involved in at least four private real estate transactions in the Virgin Islands. Schuette has been accused of violating his pledge to put assets into a blind trust. Schuette argues the property was never part of the blind trust as it does not represent a conflict. ,https://detroitnews.com/story/news/politics/2018/05/11/staffers-sign-schuette-real-estate/34798771/
2018-05-17,Planned Parenthood,Appeals court refuses to dismiss a lawsuit by PP over Centre for Medical Progress videos allegedly showing the illegal sale of fetal tissue. PP says the center deceptively edited and created false videos that were posted online.,http://ottawacitizen.com/pmn/news-pmn/appeals-court-refuses-to-toss-planned-parenthood-video-suit/wcm/0860b6a5-0b0a-43f0-a2d9-f45276d62555
2018-05-17,LCV,Michigan House votes to loosen mining permit laws. Mining companies would be able to modify onsite facilities without an environmental permit amendment under the new legislation.,http://michiganradio.org/post/michigan-house-votes-loosen-mining-permit-laws
2018-05-17,LCV,Attorneys for Michigan Department of Health and Human Services Director say notes from a September 2015 conference call prove their client put the office of Gov. Rick Snyder on notice about outbreaks of Legionnaires' disease in Flint months before the governor told the public.,http://mlive.com/news/flint/index.ssf/2018/05/lyon_says_notes_prove_he_warne.html#incart_2box_mlive_homepage_featured_entries
2018-05-17,Michigan General,"Michigan income tax and sales tax are higher than expected and should give lawmakers approximately $500 million in budget surplus. The money will be used to boost spending on infrastructure, school safety initiatives and pay down debts. The elevated projections are said to reflect a stronger economy and “disciplined state budgets”.",https://detroitnews.com/story/news/local/michigan/2018/05/16/michigan-surplus-road-school-funding/34985935/
2018-05-17,Michigan General,Michigan State U settles Nassar Lawsuit for $500 million.,http://mlive.com/news/index.ssf/2018/05/do_not_publish_settlement_reac.html#incart_most-read_
2018-05-17,Michigan Gubernatorial Race,"Dem: El-Sayed
Good article covering El-Sayed. Details his history with Duggan, Mayor of Detroit - El-Sayed had expected to get an endorsement from Duggan, but he instead endorsed Whitmer.",https://freep.com/story/news/2018/05/17/abdul-el-sayed-michigan-governor/613226002/
2018-05-22,Planned Parenthood,"Civil Rights Commission said Monday that gay and transgender residents should be protected under current state law. The commission held that existing protections against sex discrimination should also hold for sexual orientation and gender identity. Critics claim the panel exceeded its authority, consider legal action.",https://www.detroitnews.com/story/news/local/michigan/2018/05/21/gay-trans-michigan-discrimination-protections/630204002/
2018-05-22,Planned Parenthood,Schuette signs amiscus brief (advises courts of relevant info or arguments to consider) in case of Ohio Planned Parenthood vs. Ohio Department of Health regarding an attempt to cut federal funding for Ohio Planned Parenthood clinics.,http://greatlakesbeacon.org/2018/05/15/schuette-signs-on-to-battle-planned-parenthood-again/
2018-05-22,LCV,"Michigan is approaching completion on new water regulations for lead. It is the strictest plan to date and would result in the replacement of all lead service pipes in Michigan. Local government and water utilities oppose the regulations, claiming they are an overreaction in response to Flint, and will be costly and largely ineffective.",http://www.thestate.com/news/business/national-business/article211454719.html
2018-05-22,LCV,"Detroit Renewable Power, a solid waste incinerator, has a history of exceeding pollution emissions standard. The Department of Environmental Quality, in negotiations with Michigan Attorney General’s Office, has cited the company for only 8 pollution incidents, though records show they’ve exceeded emissions standards hundreds of times. Environmental groups want the incinerator to face more penalties, some calling for it to be shut down.",https://www.freep.com/story/news/local/michigan/detroit/2018/05/21/detroit-renewable-power-incinerator-pollution-deq/623615002/
2018-05-22,Progress Michigan,An article reviewing the Republican candidate’s stances on transparency as well as their financial disclosures to Bridge. Provides a more in-depth review of Schuette’s real estate assets.,https://www.bridgemi.com/public-sector/three-four-republicans-share-tax-returns-bill-schuette-said-he-will-soon
2018-05-22,Progress Michigan,"A minimum wage ballot initiative backed by Michigan One Fair Wage has been submitted Monday with over 370,000 signatures. The proposal would raise Michigan’s minimum wage to $12 by 2022. The ballot is opposed by state business groups.",https://www.detroitnews.com/story/news/local/michigan/2018/05/21/signatures-michigan-minimum-wage-ballot-initiative/629749002/
2018-05-22,Progress Michigan,An extensive review of the ways in which Michigan’s education system is failing students. Points to low rates of educational attainment and how this impacts economic growth.,http://www.mlive.com/news/index.ssf/2018/05/michigan_beyond_education.html
2018-05-22,Michigan Gubernatorial Race,"Rep: Schuette   Schuette was at the White House May 18th participating in a discussion on the future of criminal justice reform. He highlighted a need to reduce barriers to prisoners reentering society, including reducing licensure requirements for skilled trades and literacy education in prisons.","https://www.michigan.gov/ag/0,4534,7-359-82916_81983_47203-468989--,00.html"
2018-05-22,Michigan Gubernatorial Race,Rep: Schuette + Calley Calley is now calling for an independent investigation of Schuette alleging that the real estate dealing he did while in office (notarized by office staff) broke the law.,https://www.detroitnews.com/story/news/politics/2018/05/17/calley-investigation-schuette-state-staff/35024453/
2018-05-22,Michigan Gubernatorial Race,Dem: Thanedar     Interview detailing attacks Thanedar made on other democratic opponents. Calling El-Sayed “just a rich kid” and claiming Whitmer “hasn’t had anything to show as her accomplishments.”,https://theintercept.com/2018/05/22/shri-thanedar-michigan-governor-race-shri-thanedar-abdul-el-sayed/
2018-05-22,Michigan Gubernatorial Race,"Good, quick overview of all the candidates.",https://www.detroitnews.com/story/news/politics/2018/05/21/michigan-governor-candidates/35169065/
2018-05-22,Michigan Gubernatorial Race,"Libertarians are included in the upcoming primary (the first time since 1998 that a third party has qualified to hold a primary in Michigan). The contested primary means Libertarian issues will be brought to the political conversation and has the potential to sway “Michigan’s famously independent, swing voters.”",http://michiganradio.org/post/libertarian-primary-first-time-michigan-history
2018-05-23,Planned Parenthood,"More information on Title X funding and how Trumps announcement will impact Planned Parenthood. Title X specifically serves those who don’t have Medicaid, meaning cutting this funding will directly impact a vulnerable population.",https://www.cnn.com/2018/05/22/health/title-x-planned-parenthood-defunding-reax-bn/index.html
2018-05-23,LCV,Michigan House has approved a bill that gives industry representatives a larger role in environmental regulation. The legislation creates private-sector panels (populated mostly by industry representatives) that could override agency decisions on rules and permits.,https://www.bridgemi.com/michigan-environment-watch/michigan-house-approves-bills-letting-industry-vote-environmental-rules
2018-05-23,LCV,About 100 protesters gathered at Snyder’s office yesterday to demand the state continue to provide bottles water to Flint residents. Water distribution was ended last month.,https://www.usnews.com/news/best-states/michigan/articles/2018-05-22/protesters-bottled-water-should-still-be-provided-in-flint
2018-05-23,Progress Michigan,"While educational outcomes have improved across the nation, Michigan continues to fall behind on test scores, on-time graduations and secondary school numbers. Many see the K-12 system as severely hurt by bad policies around school choice, many leading back to Betsy DeVoss (a supporter of Schuette). This article explores various aspects of the debate via a number of experts and education advocates.",http://www.mlive.com/news/index.ssf/2018/05/michigan_schools_on_a_race_to.html
2018-05-23,Michigan Gubernatorial Race,Rep: Schuette.  Schuette signs Americans for Tax Reform pledge to never raise taxes because he “will be Michigan's jobs and paychecks governor”.,https://twitter.com/SchuetteOnDuty/status/998962075480350720/photo/1
2018-05-23,Michigan Gubernatorial Race,Dem: Thanedar   Thanedar has hired David Bullock to manage his statewide campaign. Bullock is a prominent Detroit activist and pastor and is well known in the community. Shows Thanedar making an active push for support in Detroit.,https://www.detroitnews.com/story/news/local/michigan/2018/05/22/thanedar-campaign-manager-detroit-bullock/632750002/
2018-05-23,Michigan Gubernatorial Race,Democrats.    El-Sayed and Whitmer have released details about their finances to Bridge Magazine. Thanedar has refused to disclose his finances despite multiple statements voicing support for transparency from state elected leaders. Article details what each candidate has disclosed in response to Bridge’s request.,https://www.bridgemi.com/public-sector/michigan-democrats-el-sayed-whitmer-disclose-taxes-shri-thanedar-does-not
2018-05-25,Planned Parenthood,"Planned Parenthood considering litigation against Trump if he moves forward with proposed cut to Title X funding. The National Family Planning and Reproductive Health Association, a membership organization of Title X family planning clinics, also said it would consider litigation. ",http://thehill.com/policy/healthcare/389227-planned-parenthood-considers-litigation-on-trumps-proposed-changes-to
2018-05-25,LCV,"Snyder has approved an emergency order yesterday prohibiting ships from dropping anchors in the Straits of Mackinac following an April act that ruptured transmission cables and dented Line 5. The rule prohibits boats from deploying, dragging, setting or otherwise using an anchor in a defined area of the straits, except in cases of emergency.",https://www.detroitnews.com/story/news/local/michigan/2018/05/24/snyder-no-anchor-straits-mackinac/640956002/
2018-05-25,LCV,"New poll found 54% of Michigan voters want the Line 5 oil pipeline in the Straits of Mackinac to be shut down, 87% of voters said they are concerned that the 65-year-old pipeline could have oil spill in Northern Michigan.",http://michiganradio.org/post/new-poll-says-most-michigan-voters-want-line-5-shut-down
2018-05-25,LCV,Pair of legal challenges filed Monday State regulators failed to enforce environmental laws when they allowed additional structural supports for Line 5 without proper review. Claim Michigan DEQ didn't appropriately evaluate alternatives and the potential for damaging environmental effects when they granted permits earlier this year for Enbridge to install new screw anchors.,http://www.mlive.com/news/grand-rapids/index.ssf/2018/05/lawyers_claim_deq_failed_to_en.html
2018-05-25,Progress Michigan,Michigan has seen higher interest in guns over the past few months - stats show there has been an increase in sales and concealed pistol licenses issued since the Parkland shooting.,https://www.detroitnews.com/story/news/local/michigan/2018/05/23/gun-sales-concealed-pistol-licenses-michigan/35288961/
