Date,Query,postdate,Content,Estimated Retweets in MI,Source
2018-06-06,"(""democrats"" OR ""democrat"")",2018-06-06T00:02:00-04:00,"Mitch McConnell announced he will cancel the Senate’s August Recess. Great, maybe the Democrats will finally get so… https://t.co/KYTueRpKHp",82,http://twitter.com/realDonaldTrump/statuses/1004211778837012481
2018-06-06,"((""flint"" AND ""water"") OR (""lead"" AND (""pipes"" OR ""poisoning"")))",2018-06-06T00:24:41-04:00,ATTENTION!! ROCK THE UHAUL! Turn Up for a Good cause. We are looking for performers to participate! We are trying t… https://t.co/PPDF8ZvVIA,15,http://twitter.com/TheNationEMU/statuses/1004217486940786688
2018-06-06,"((""clean"" AND ""water"") OR ((""enbridge"" OR (""line"" AND ""5"") OR ""mackinac"" OR ""oil"" OR ""leak"" OR ""leaks"") AND (""pipeline"" OR ""tunnel"")) OR (""oil"" AND (""spills"" OR ""spill"" OR ""slick"")) OR (""water"" AND ""pollution"") OR ""mercury"" OR ""arsenic"")",2018-06-06T00:24:41-04:00,ATTENTION!! ROCK THE UHAUL! Turn Up for a Good cause. We are looking for performers to participate! We are trying t… https://t.co/PPDF8ZvVIA,15,http://twitter.com/TheNationEMU/statuses/1004217486940786688
2018-06-06,"((""flint"" AND ""water"") OR (""lead"" AND (""pipes"" OR ""poisoning"")))",2018-06-06T00:24:41-04:00,ATTENTION!! ROCK THE UHAUL! Turn Up for a Good cause. We are looking for performers to participate! We are trying t… https://t.co/PPDF8ZvVIA,15,http://twitter.com/TheNationEMU/statuses/1004217486940786688
2018-06-06,"((""clean"" AND ""water"") OR ((""enbridge"" OR (""line"" AND ""5"") OR ""mackinac"" OR ""oil"" OR ""leak"" OR ""leaks"") AND (""pipeline"" OR ""tunnel"")) OR (""oil"" AND (""spills"" OR ""spill"" OR ""slick"")) OR (""water"" AND ""pollution"") OR ""mercury"" OR ""arsenic"")",2018-06-06T00:24:41-04:00,ATTENTION!! ROCK THE UHAUL! Turn Up for a Good cause. We are looking for performers to participate! We are trying t… https://t.co/PPDF8ZvVIA,15,http://twitter.com/TheNationEMU/statuses/1004217486940786688
2018-06-06,"(""republicans"" OR ""republican"")",2018-06-06T00:29:21-04:00,Over 62% of the votes cast so far for Governor in California are for Democrats. All Republicans can do now is try a… https://t.co/mDnP167cKe,23,http://twitter.com/funder/statuses/1004218665523449861
2018-06-06,"(""birth control"" OR ((""women"" OR ""womens"" OR ""women%27s"" OR ""female"") AND ""health"") OR (""contraception"" AND (""cost"" OR ""coverage"" OR ""insurance"")))",2018-06-06T00:46:02-04:00,"Only 1 party is running on civil rights, voting rights, equal rights, women's reproductive rights, LGBT rights, gun… https://t.co/HLwRpCOkHM",4,http://twitter.com/MattMurph24/statuses/1004222860838268929
2018-06-06,"(""birth control"" OR ((""women"" OR ""womens"" OR ""women%27s"" OR ""female"") AND ""health"") OR (""contraception"" AND (""cost"" OR ""coverage"" OR ""insurance"")))",2018-06-06T00:46:02-04:00,"Only 1 party is running on civil rights, voting rights, equal rights, women's reproductive rights, LGBT rights, gun… https://t.co/HLwRpCOkHM",4,http://twitter.com/MattMurph24/statuses/1004222860838268929
2018-06-06,"((""abortion"" AND ""rights"") OR ""pro-choice"" OR ""pro choice"" OR ""abortion debate"" OR ""title X"" OR ""title-X"")",2018-06-06T01:14:19-04:00,"Wow, let’s change that come November with a pro-choice woman, shall we? https://t.co/gZ7ot2NG3T",3,http://twitter.com/SarahLerner/statuses/1004229977930256384
2018-06-06,"((""abortion"" AND ""rights"") OR ""pro-choice"" OR ""pro choice"" OR ""abortion debate"" OR ""title X"" OR ""title-X"")",2018-06-06T01:14:19-04:00,"Wow, let’s change that come November with a pro-choice woman, shall we? https://t.co/gZ7ot2NG3T",3,http://twitter.com/SarahLerner/statuses/1004229977930256384
