global_clust_number,cluster_name,votepropensity2017g_buckets,sy_vch_index_buckets,age,catalistmodel_religious_attendance_bin,catalistmodel_gun_owner,catalistmodel_education,catalistmodel_ideology,catalistmodel_child,married,non_caucasian,income_num,is_protestant,is_female,is_caucasian,catalistmodel_income,is_urban,is_coastal,vch_bucket_low,vch_bucket_med,vch_bucket_high,vote_bucket_low,vote_bucket_med,vote_bucket_high,catalistmodel_voteprop2018,catalistmodel_vch_index,seg_1,seg_2,seg_3,seg_4,seg_5,seg_6,seg_7,seg_8,seg_9,count,Damage_to_the_Great_Lakes_because_of_pipeline_leaks_could_hurt_Michigans_economy,The_Line_5_pipeline_has_a_serious_impact_on_clean_water,The_Line_5_pipeline_poses_a_direct_risk_to_health_of_Michigan_communities,Alternatives_to_the_Line_5_pipeline_have_their_own_problems_to_consider,Michigan_should_do_more_to_protect_fresh_water_bodies_from_oil_spills_and_other_pollution,The_economic_boost_that_pipelines_create_for__Michigan__is_worth_some_risks_of_potential_pipeline_leaks,The_risks_of_oil_pipeline_leakages_is_too_low_a_probability_to_worry_about_very_much,a_national_effort_to_cut_carbon_dioxide_emissions_by_setting_state_limits_is_a_priority_to_implement,Carbon_taxes_and_CO2_emissions_caps_pose_too_much_risk_to_the_economy,Michigan_should_do_more_to_help_children_and_families_affected_by_lead_poisoning_in_Flint,Investments_in_remedial_education_and_enrichment_programs_are_needed_to_support_children_affected_by_lead_poisoning_in_Flint,Women_have_a_right_to_choose_to_have_an_abortion,Women_should_be_able_to_access_abortions_through_health_insurance_in_the_case_of_rape_or_incest,Abortions_should_not_be_covered_by_health_insurance_in_any_circumstance,Planned_Parenthood_should_not_receive_public_funding,Undocumented_women_under_the_age_of_18_should_be_able_to_access_abortions_legally,Employers_should_have_the_right_to_choose_whether_to_cover_birth_control_as_part_of_their_health_insurance_policies,Medicaid_recipients_should_be_required_to_meet_minimum_work_requirements_before_receiving_benefits,NAFTA_should_be_abolished_or_dramatically_reformed,I_support_stricter_gun_reform_legislation,Michigan_is_facing_an_opioid_crisis,Health_Care_is_unaffordable_in_Michigan_these_days,Auto_insurance_rates_are_too_high_in_Michigan,The_costs_of_a_college_education__have_become_unaffordable_in_Michigan,Closing_skill_gaps_for_the_workforce_in_Michigan_is_a_priority,Michigan_should_raise_the_state_minimum_wage,Politics_in_Michigan_are_corrupt,Legalizing_and_taxing_marijuana_is_a_good_option_for_increasing_state_revenues_and_funding,Legalizing_marijuana_is_a_bad_idea,The_current_policies_of_elected_officials_in_Michigan_are_detrimental_to_the_environment,Ensuring_women_receive_equal_pay_for_their_work_is_a_political_priority,15_per_hour_is_a_fair_and_appropriate_minimum_wage_for_Michigan_workers,PreKindergarten_education_should_be_available_to_all_Michigan_families,Licensing_and_training_teachers_to_use_firearms_is_an_important_option_to_consider_for_mitigating_school_shootings,Police_should_be_able_to_confiscate_firearms_and_ammunition_from_a_person_whom_a_judge_deems_a_legitimate_threat,Charter_schools_are_leaving_Michigan_children_behind,Same_sex_couples_should_be_allowed_to_be_legally_married_in_Michigan,Married_samesex_couples_in_Michigan_should_be_allowed_to_adopt_children,Students_should_be_allowed_to_use_the_restroom_and_locker_room_that_matches_their_gender_identity_whether_or_not_that_is_the_same_as_their_sex_at_birth,Farms_should_have_flexibility_in_the_minimum_wage_they_pay_to_migrant_or_seasonal_workers,Adoption_agencies_should_be_able_to_deny_couples_an_adoption_for_religious_reasons,A_study_by_Michigan_State_U_puts_the_cost_of_cleaning_a_spill_from_the_Line_5_pipeline_at_6_billion,ruptured_or_leakedoil_spilled_could_cover_more_than_17000_square_miles,Enbridge_Line_5_has_spilled_at_least_11M_gallons_in_past_50_years,In_2010_when_the_Line_6B_spilled_into_the_Kalamazoo_River_the_company_didnt_notice_the_pipeline_had_ruptured_until_being_alerted_by_an_outside_caller_17_hours_later,where_children_suffered_brain_damage_due_to_lead_poisoning_from_contaminated_water_sources_dropped_from_418_percent_to_107_percent,Children_in_Flint_exposed_to_contaminated_water_are_at_risk_for_a_number_of_problems_including_lower_IQ_scores_developmental_delays_and_behavioral_issues_Even_after_lead_exposure_stops_the_effects_can_last_for_years_or_even_be_permanent,A_2016_Study_estimated_275_people_in_Michigan_die_each_year_due_to_air_pollution,Michigan_has_high_rates_of_asthma_even_higher_in_Detroit_where_asthma_hospitalization_rate_is_triple_the_state_average,AfricanAmerican_children_in_metro_Detroit_suffered_2402_asthma_attacks_and_missed_1751_school_days_due_to_asthma_per_year,40_of_Michigan_women_live_in_counties_with_no_abortion_clinics,Breast_cancer_is_the_second_leading_cause_of_cancer_death_Each_year_1400_to_1500_Michigan_women_die_of_breast_cancer,1_in_5_women_in_America_has_relied_on_Planned_Parenthood,Bill_Schuette_Republican,Patrick_Colbeck_Republican,Brian_Calley_Republican,Gretchen_Whitmer_Democrat,Abdul_ElSayed_Democrat,Shri_Thanedar_Democrat,issue_1,issue_2,issue_3
1,clust_618_1,vote_bucket_low,vch_bucket_low,58.51137885,13.1695537,42.37445018,34.7863297,34.87762478,16.0011092,0.185886403,0.001147447,51.67355135,0.541786192,0.843182253,0.999235035,7.051206908,0.844520941,0.255306942,1,0,0,1,0,0,12.13471027,18.84458788,0,0,0.002294894,0,0,0,0.969592656,0,0.02811245,5229,0.754304979,0.601599305,0.609616807,0.801647703,0.850996112,0.505881341,0.485984824,0.543487842,0.5375219,0.728855919,0.644227098,0.511249126,0.628388817,0.534311479,0.515385889,0.254644104,0.577103891,0.569066113,0.750541398,0.385470277,0.866304354,0.742101496,0.926615581,0.704749082,0.713113895,0.533315979,0.708612507,0.667877489,0.394249529,0.527369511,0.606595444,0.407487381,0.509675388,0.616329813,0.792374711,0.483674326,0.359823577,0.535631807,0.235125904,0.65384431,0.412753139,0.607105029,0.645097943,0.58524378,0.620821522,0.592129617,0.668890091,0.569054563,0.761571189,0.552632778,0.234136971,0.740558995,0.447842791,0.547885961,0.501175255,0.403316907,0.282220808,0.206082768,0.313025922,Planned_Parenthood_should_not_receive_public_funding,Employers_should_have_the_right_to_choose_whether_to_cover_birth_control_as_part_of_their_health_insurance_policies,Farms_should_have_flexibility_in_the_minimum_wage_they_pay_to_migrant_or_seasonal_workers
2,clust_618_2,vote_bucket_med,vch_bucket_low,57.77072827,14.02584255,42.80004691,35.07215279,28.01677026,16.02078105,0.270552363,0.00258004,53.44106954,0.48668934,0.883429108,0.998358156,7.178952674,0.861381494,0.231499941,1,0,0,0,1,0,53.65728861,20.05138736,0,0,0.002697314,0,0,0,0.975841445,0,0.021461241,8527,0.747895357,0.593536134,0.609325615,0.81148963,0.850820577,0.507536485,0.50329949,0.537136728,0.548118832,0.722260552,0.63416107,0.504179431,0.623082738,0.545290044,0.520586623,0.243706685,0.58885495,0.581215945,0.760533989,0.370680553,0.862359718,0.734836017,0.926515778,0.703548712,0.708363988,0.524363629,0.705138096,0.671528451,0.394324222,0.518209983,0.60414963,0.392421419,0.499769325,0.623023898,0.793456148,0.47287492,0.354757554,0.536845454,0.224182335,0.660560767,0.416768688,0.601764971,0.640145325,0.5777342,0.616050857,0.579400424,0.65948868,0.558495992,0.752052544,0.537799232,0.222754748,0.738582756,0.438972001,0.564518865,0.515077395,0.417395612,0.267072486,0.191222923,0.301537772,Planned_Parenthood_should_not_receive_public_funding,Employers_should_have_the_right_to_choose_whether_to_cover_birth_control_as_part_of_their_health_insurance_policies,NAFTA_should_be_abolished_or_dramatically_reformed
3,clust_618_3,vote_bucket_high,vch_bucket_low,66.36946095,15.92006663,40.47676568,36.22247651,21.17166117,9.325841584,0.343718372,0.001760176,55.04825083,0.468514851,0.916479648,0.998613861,7.280966705,0.882112211,0.226314631,1,0,0,0,0,1,90.48817602,19.28783234,0,0,0.000506051,0,0,0,0.974037404,0,0.025456546,45450,0.762980182,0.552366393,0.530310435,0.800988374,0.843819251,0.505399595,0.508697145,0.48255085,0.521495151,0.671447322,0.588625496,0.484167623,0.642121106,0.525700441,0.558464596,0.225293763,0.655562304,0.628582273,0.79379245,0.384798621,0.907286403,0.700625103,0.940194527,0.661664535,0.762700046,0.517520101,0.629818269,0.615567177,0.474133633,0.465675577,0.591594174,0.372159306,0.48148114,0.593106916,0.817724193,0.43244935,0.273210614,0.479655767,0.197072466,0.725423314,0.420642852,0.613372864,0.646441047,0.565217527,0.639030616,0.576954714,0.659127241,0.530730044,0.744024488,0.548194396,0.197953692,0.762172454,0.466811776,0.531419044,0.441916137,0.372991776,0.260902542,0.174274814,0.294019634,Employers_should_have_the_right_to_choose_whether_to_cover_birth_control_as_part_of_their_health_insurance_policies,Farms_should_have_flexibility_in_the_minimum_wage_they_pay_to_migrant_or_seasonal_workers,Legalizing_marijuana_is_a_bad_idea
4,clust_618_4,vote_bucket_low,vch_bucket_med,60.45301418,11.79906977,37.10283688,31.22735346,33.61675532,15.59131206,0.093971631,0.000886525,42.70744681,0.533687943,0.879432624,0.999113475,6.425871596,0.834219858,0.317375887,0,1,0,1,0,0,12.30505319,52.22981383,0,0,0.093971631,0,0,0,0.878546099,0,0.02748227,1128,0.767625719,0.61333469,0.617921281,0.765298001,0.854418742,0.482821023,0.449344261,0.546415537,0.532112768,0.72765343,0.654730229,0.540281105,0.657964348,0.495130452,0.491369842,0.280020096,0.575121877,0.539431909,0.731420709,0.428823396,0.868859254,0.76130396,0.931687248,0.700419468,0.729929508,0.561518145,0.725014461,0.664898101,0.401989688,0.540899451,0.626157529,0.438945566,0.53066668,0.56962273,0.793861552,0.49935122,0.355255279,0.50063214,0.256154174,0.656682599,0.410336042,0.633159051,0.669284899,0.604531571,0.653026061,0.610504881,0.680008036,0.590454454,0.777233831,0.576030569,0.25525782,0.765313898,0.473185613,0.492721109,0.45122423,0.359888263,0.325930181,0.240729343,0.3560028,Employers_should_have_the_right_to_choose_whether_to_cover_birth_control_as_part_of_their_health_insurance_policies,Farms_should_have_flexibility_in_the_minimum_wage_they_pay_to_migrant_or_seasonal_workers,Planned_Parenthood_should_not_receive_public_funding
5,clust_618_5,vote_bucket_med,vch_bucket_med,60.52116402,12.42657993,37.5840682,27.29411765,26.09450323,14.420194,0.141093474,0.003527337,39.83421517,0.451793063,0.920928865,0.996472663,6.203648955,0.904174015,0.389182834,0,1,0,0,1,0,53.35543798,52.60629042,0,0,0.030864198,0,0,0,0.953850676,0,0.015285126,3402,0.77439431,0.622276884,0.63889787,0.765719858,0.868963423,0.473844672,0.45664834,0.556693659,0.52996871,0.732133309,0.665057764,0.56090368,0.673238589,0.487188881,0.477352578,0.287718327,0.567369756,0.531274508,0.741377805,0.442262184,0.880428242,0.773201677,0.944872507,0.715855523,0.742270787,0.580100811,0.731279505,0.682341093,0.389667114,0.557827991,0.63614129,0.45967193,0.544285109,0.557552209,0.803345346,0.509734113,0.356241041,0.494575873,0.264499383,0.655867525,0.406193707,0.648015583,0.680534021,0.606068159,0.649978216,0.614864055,0.687022634,0.604785796,0.781626988,0.584191576,0.257282068,0.785412132,0.479660552,0.475664663,0.430823083,0.348413301,0.346876725,0.255396938,0.381753926,Farms_should_have_flexibility_in_the_minimum_wage_they_pay_to_migrant_or_seasonal_workers,Employers_should_have_the_right_to_choose_whether_to_cover_birth_control_as_part_of_their_health_insurance_policies,NAFTA_should_be_abolished_or_dramatically_reformed
6,clust_618_6,vote_bucket_high,vch_bucket_med,69.03754147,14.78903288,35.99118212,28.9225598,21.9574821,6.830932425,0.268465165,0.00349223,44.90282871,0.445870438,0.942290903,0.996944299,6.567689605,0.906582853,0.330714161,0,1,0,0,0,1,89.22781561,52.30602584,0,0,0.003579536,0,0,0,0.969093766,0,0.027326698,11454,0.804020917,0.618507305,0.591653958,0.717335052,0.870500813,0.433698868,0.432398799,0.546284643,0.494890256,0.715232027,0.66638976,0.581363102,0.720105366,0.423488115,0.470349089,0.323391085,0.610814343,0.561313782,0.731944895,0.513717348,0.917369749,0.733827769,0.953099122,0.679822007,0.80459984,0.616165513,0.657680434,0.644491275,0.448517057,0.544745041,0.648220588,0.493118281,0.56439497,0.483193924,0.835543549,0.511398405,0.306880335,0.462017312,0.29496835,0.692151221,0.393088824,0.688372696,0.716466269,0.628826155,0.697118322,0.653416132,0.723408991,0.62061597,0.796411929,0.632977221,0.285643879,0.821442635,0.548781317,0.406811415,0.329915487,0.285104502,0.407062136,0.293287492,0.427528018,Employers_should_have_the_right_to_choose_whether_to_cover_birth_control_as_part_of_their_health_insurance_policies,Farms_should_have_flexibility_in_the_minimum_wage_they_pay_to_migrant_or_seasonal_workers,Legalizing_marijuana_is_a_bad_idea
7,clust_618_7,vote_bucket_low,vch_bucket_high,63.02281369,10.77637131,20.20532319,38.75665399,50.96273764,6.342965779,0.003802281,0,37.22813688,0.463878327,0.996197719,1,6.008152698,0.977186312,0.068441065,0,0,1,1,0,0,15.05437262,82.72779468,0,0,0.844106464,0,0,0,0.152091255,0,0.003802281,263,0.783733669,0.625420897,0.610540071,0.688224477,0.839786196,0.466808249,0.461788092,0.525984921,0.571645612,0.725596738,0.658667844,0.551638444,0.677724872,0.49855899,0.499408303,0.301810755,0.607418328,0.469033185,0.716011846,0.452370359,0.835229208,0.759582175,0.911015941,0.679583315,0.774934391,0.59076988,0.762173786,0.667333278,0.432921836,0.544175587,0.625911502,0.47081282,0.497746688,0.546669902,0.765589762,0.512131716,0.345009712,0.416060744,0.28589792,0.689881078,0.453429711,0.678721248,0.684106114,0.610714671,0.645637473,0.654625212,0.692704315,0.604251994,0.793412943,0.607206266,0.279426314,0.771306275,0.546386018,0.459701747,0.428075169,0.367826783,0.351182585,0.26842883,0.420279439,Farms_should_have_flexibility_in_the_minimum_wage_they_pay_to_migrant_or_seasonal_workers,Employers_should_have_the_right_to_choose_whether_to_cover_birth_control_as_part_of_their_health_insurance_policies,Legalizing_marijuana_is_a_bad_idea
8,clust_618_8,vote_bucket_med,vch_bucket_high,61.55865922,11.64820847,26.55027933,31.22625698,38.31456583,8.759103641,0.055865922,0.002793296,37.71787709,0.374301676,0.977653631,0.997206704,6.045392533,0.98603352,0.217877095,0,0,1,0,1,0,49.93631285,79.45117318,0,0,0.477653631,0,0,0,0.497206704,0,0.025139665,358,0.794245905,0.650059219,0.646440551,0.664479053,0.855866711,0.441370608,0.436916002,0.559996604,0.566723899,0.745624752,0.695402309,0.594606729,0.707642763,0.456775552,0.455997524,0.344910386,0.573683299,0.442869681,0.692306469,0.497605489,0.837966672,0.77287158,0.923181899,0.702731868,0.779252898,0.626098604,0.781283764,0.691588214,0.404699858,0.580614522,0.659153436,0.517680755,0.547128608,0.510085508,0.783455828,0.546604554,0.377306676,0.433530212,0.328749654,0.663548748,0.432786384,0.702050677,0.71657539,0.628411068,0.669768318,0.680306968,0.724741491,0.633204923,0.816767799,0.632960144,0.313205552,0.796424727,0.565238978,0.412810773,0.382935154,0.332056025,0.413958294,0.321942478,0.476805986,Farms_should_have_flexibility_in_the_minimum_wage_they_pay_to_migrant_or_seasonal_workers,Closing_skill_gaps_for_the_workforce_in_Michigan_is_a_priority,Employers_should_have_the_right_to_choose_whether_to_cover_birth_control_as_part_of_their_health_insurance_policies
9,clust_618_9,vote_bucket_high,vch_bucket_high,71.34150943,13.40663507,33.31792453,28.15471698,21.6154717,4.883396226,0.266981132,0.002830189,42.63962264,0.485849057,0.95,0.997169811,6.415560607,0.932075472,0.279245283,0,0,1,0,0,1,90.30990566,77.32543396,0,0,0.104716981,0,0,0,0.841509434,0,0.053773585,1060,0.812582837,0.626330426,0.587103557,0.647210508,0.861669714,0.427165728,0.416605201,0.52712363,0.549077075,0.717267259,0.68197101,0.588627391,0.733047345,0.407172183,0.474432239,0.338781443,0.629781077,0.494291173,0.714792507,0.534573235,0.89000445,0.748925334,0.943818344,0.670952304,0.831584362,0.635774035,0.715095384,0.636310151,0.47224156,0.544596971,0.656342882,0.516232747,0.554078489,0.454457942,0.800641772,0.523632075,0.291994486,0.359333085,0.321277472,0.717458134,0.436566778,0.717831106,0.73098509,0.633196357,0.711856864,0.69203447,0.735329103,0.637102164,0.819912282,0.651111694,0.301634808,0.833674266,0.608751242,0.378679813,0.317519218,0.284998271,0.435645577,0.316744078,0.485556255,Farms_should_have_flexibility_in_the_minimum_wage_they_pay_to_migrant_or_seasonal_workers,Employers_should_have_the_right_to_choose_whether_to_cover_birth_control_as_part_of_their_health_insurance_policies,Closing_skill_gaps_for_the_workforce_in_Michigan_is_a_priority
10,clust_618_10,vote_bucket_low,vch_bucket_low,33.6897881,6.551044821,72.83707785,23.73996396,39.39214775,25.74187534,0,0.000827736,41.37106234,0.361531549,0,1,6.172922113,0.120021758,0.244418693,1,0,0,1,0,0,11.76456816,28.70683237,0,9.46E-05,0.001395327,0.961663986,0,0,0,0,0.036846088,42284,0.759844706,0.671621121,0.772251976,0.822962623,0.875796961,0.489923378,0.443163467,0.658835507,0.589553662,0.842326219,0.778488757,0.459944807,0.497940438,0.644478317,0.408668733,0.332679348,0.433266989,0.521044088,0.594797809,0.326697684,0.698627905,0.794941345,0.834346749,0.801225633,0.516648563,0.518052113,0.854285167,0.74953383,0.261972437,0.647395543,0.601664252,0.401457184,0.510381331,0.704132102,0.675890868,0.588832674,0.564254818,0.720158622,0.320919993,0.501884285,0.432154742,0.609390893,0.60356592,0.649854328,0.586449652,0.667874771,0.712842397,0.680552469,0.827480957,0.577325268,0.362797362,0.707433549,0.484082257,0.668621034,0.725968136,0.555121124,0.240081658,0.201959369,0.282262816,Abortions_should_not_be_covered_by_health_insurance_in_any_circumstance,Married_samesex_couples_in_Michigan_should_be_allowed_to_adopt_children,Licensing_and_training_teachers_to_use_firearms_is_an_important_option_to_consider_for_mitigating_school_shootings
