Campaign,Start,End,Reach
LCV,2018-04-29,2018-04-29,102558
LCV,2018-04-29,2018-04-30,197019
LCV,2018-04-29,2018-05-01,270395
LCV,2018-04-29,2018-05-02,333499
LCV,2018-04-29,2018-05-03,388603
LCV,2018-04-29,2018-05-04,444923
LCV,2018-04-29,2018-05-05,1028347
LCV,2018-04-29,2018-05-06,1863675
LCV,2018-04-29,2018-05-07,2528251
LCV,2018-04-29,2018-05-08,2981884
LCV,2018-04-29,2018-05-09,3182078
LCV,2018-04-29,2018-05-10,3375102
LCV,2018-04-29,2018-05-11,3450878
LCV,2018-04-29,2018-05-12,3450878
LCV,2018-04-29,2018-05-13,3465215
LCV,2018-04-29,2018-05-14,3495423
LCV,2018-04-29,2018-05-15,3546623
LCV,2018-04-29,2018-05-16,3606529
LCV,2018-04-29,2018-05-17,3726344
LCV,2018-04-29,2018-05-18,3759108
LCV,2018-04-29,2018-05-19,3822431
LCV,2018-04-29,2018-05-20,3835099
LCV,2018-04-29,2018-05-21,3840828
LCV,2018-04-29,2018-05-22,3842836
LCV,2018-04-29,2018-05-23,3868187
LCV,2018-04-29,2018-05-24,3921094
LCV,2018-04-29,2018-05-25,3994585
LCV,2018-04-29,2018-05-26,4035441
LCV,2018-04-29,2018-05-27,4079389
LCV,2018-04-29,2018-05-28,4099848
LCV,2018-04-29,2018-05-29,4099848
LCV,2018-04-29,2018-05-30,4107973
LCV,2018-04-29,2018-05-31,4109999
LCV,2018-04-29,2018-08-03,4109999
LCV,2018-04-29,2018-08-04,4109999
LCV,2018-04-29,2018-08-05,4109999
LCV,2018-04-29,2018-08-06,4109999
LCV,2018-04-30,2018-04-30,125468
LCV,2018-04-30,2018-05-01,219451
LCV,2018-04-30,2018-05-02,295292
LCV,2018-04-30,2018-05-03,358012
LCV,2018-04-30,2018-05-04,414780
LCV,2018-04-30,2018-05-05,1012220
LCV,2018-04-30,2018-05-06,1854460
LCV,2018-04-30,2018-05-07,2526204
LCV,2018-04-30,2018-05-08,2980349
LCV,2018-04-30,2018-05-09,3180543
LCV,2018-04-30,2018-05-10,3373566
LCV,2018-04-30,2018-05-11,3449343
LCV,2018-04-30,2018-05-12,3449343
