Date,Query,Source,Neutral Sentiment,Negative Sentiment,Positive Sentiment,Total Mentions,Day Mentions,Hour Mentions,Gender_Male,Gender_Female
2018-04-28,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",twitter,100,0,0,0,0,0,0,0
2018-04-28,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-04-28,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",forum,100,0,0,0,0,0,0,0
2018-04-28,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",news,100,0,0,0,0,0,0,0
2018-04-29,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",twitter,100,0,0,1,1,0,0,0
2018-04-29,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-04-29,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",forum,100,0,0,0,0,0,0,0
2018-04-29,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",news,100,0,0,2,2,0,0,0
2018-04-30,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",twitter,100,0,0,0,0,0,0,0
2018-04-30,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-04-30,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",forum,100,0,0,0,0,0,0,0
2018-04-30,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",news,100,0,0,1,1,0,0,0
2018-05-01,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",twitter,100,0,0,0,0,0,0,0
2018-05-01,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-05-01,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",forum,100,0,0,0,0,0,0,0
2018-05-01,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",news,100,0,0,0,0,0,0,0
2018-05-02,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",twitter,100,0,0,0,0,0,0,0
2018-05-02,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-05-02,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",forum,100,0,0,0,0,0,0,0
2018-05-02,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",news,100,0,0,6,6,0,0,0
2018-05-03,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",twitter,100,0,0,0,0,0,0,0
2018-05-03,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-05-03,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",forum,100,0,0,0,0,0,0,0
2018-05-03,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",news,100,0,0,1,1,0,0,0
2018-05-04,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",twitter,33.33,0,66.67,3,3,0,0,0
2018-05-04,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-05-04,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",forum,100,0,0,0,0,0,0,0
2018-05-04,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",news,100,0,0,2,2,0,0,0
2018-05-05,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",twitter,100,0,0,0,0,0,0,0
2018-05-05,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-05-05,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",forum,100,0,0,0,0,0,0,0
2018-05-05,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",news,100,0,0,0,0,0,0,0
2018-05-06,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",twitter,100,0,0,1,1,0,100,0
2018-05-06,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-05-06,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",forum,100,0,0,0,0,0,0,0
2018-05-06,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",news,100,0,0,0,0,0,0,0
2018-05-07,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",twitter,100,0,0,1,1,0,0,100
2018-05-07,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",blog,100,0,0,0,0,0,0,0
