Date,Query,Source,Neutral Sentiment,Negative Sentiment,Positive Sentiment,Total Mentions,Day Mentions,Hour Mentions,Gender_Male,Gender_Female
2018-04-29,"""bill schuette"" AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-04-29,"""bill schuette"" AND (province:mi)",forum,100,0,0,0,0,0,0,0
2018-04-29,"""bill schuette"" AND (province:mi)",news,100,0,0,8,8,0,0,0
2018-04-29,"""bill schuette"" AND (province:mi)",twitter,63.16,31.58,5.26,19,19,1,58.33,41.67
2018-04-29,"""brian calley"" AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-04-29,"""brian calley"" AND (province:mi)",forum,100,0,0,0,0,0,0,0
2018-04-29,"""brian calley"" AND (province:mi)",news,100,0,0,2,2,0,0,0
2018-04-29,"""brian calley"" AND (province:mi)",twitter,100,0,0,3,3,0,100,0
2018-04-29,"""gretchen whitmer"" AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-04-29,"""gretchen whitmer"" AND (province:mi)",forum,100,0,0,0,0,0,0,0
2018-04-29,"""gretchen whitmer"" AND (province:mi)",news,100,0,0,5,5,0,0,0
2018-04-29,"""gretchen whitmer"" AND (province:mi)",twitter,89.47,10.53,0,19,19,1,72.73,27.27
2018-04-29,"""shri thanedar"" AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-04-29,"""shri thanedar"" AND (province:mi)",forum,100,0,0,0,0,0,0,0
2018-04-29,"""shri thanedar"" AND (province:mi)",news,100,0,0,1,1,0,0,0
2018-04-29,"""shri thanedar"" AND (province:mi)",twitter,75,25,0,32,32,1,46.67,53.33
2018-04-29,"""trump"" AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-04-29,"""trump"" AND (province:mi)",forum,100,0,0,14,14,1,100,0
2018-04-29,"""trump"" AND (province:mi)",news,100,0,0,150,150,6,0,0
2018-04-29,"""trump"" AND (province:mi)",twitter,64.68,27.94,7.38,23193,23193,966,45.86,54.14
2018-04-29,"(""abdul el-sayed"" OR ""abdul el sayed"") AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-04-29,"(""abdul el-sayed"" OR ""abdul el sayed"") AND (province:mi)",forum,100,0,0,3,3,0,0,0
2018-04-29,"(""abdul el-sayed"" OR ""abdul el sayed"") AND (province:mi)",news,100,0,0,1,1,0,0,0
2018-04-29,"(""abdul el-sayed"" OR ""abdul el sayed"") AND (province:mi)",twitter,75,16.67,8.33,12,12,1,25,75
2018-04-29,"(""bill cobbs"" OR ""william cobbs"") AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-04-29,"(""bill cobbs"" OR ""william cobbs"") AND (province:mi)",forum,100,0,0,0,0,0,0,0
2018-04-29,"(""bill cobbs"" OR ""william cobbs"") AND (province:mi)",news,100,0,0,1,1,0,0,0
2018-04-29,"(""bill cobbs"" OR ""william cobbs"") AND (province:mi)",twitter,66.67,33.33,0,3,3,0,100,0
2018-04-29,"(""birth control"" OR ((""women"" OR ""womens"" OR ""women's"" OR ""female"") AND ""health"") OR (""contraception"" AND (""cost"" OR ""coverage"" OR ""insurance""))) AND (province:mi)",blog,100,0,0,0,0,0,0,0
