Date,Coalition,Channel,Matrix Position,Spend,Reach,Impressions,Engagements,Comments,Shares,Video Views,Video Completions,Website Clicks,CumSpend,CumImpressions
2018-04-28,LCV,Facebook,Unspecified (Phase 1),0,0,0,0,0,0,0,0,0,0,0
2018-04-28,LCV,Facebook,Republican - Vote Low,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,LCV,Facebook,Republican - Vote Medium,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,LCV,Facebook,Republican - Vote High,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,LCV,Facebook,Persaudables - Vote Medium,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,LCV,Facebook,Persaudables - Vote High,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,LCV,Facebook,Democrats - Vote Low,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,LCV,Facebook,Democrats  - Vote Medium,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,LCV,Facebook,Democrats - Vote High,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,LCV,Facebook,Persaudables - Vote Low,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,LCV,Twitter,Unspecified (Phase 1),76.405698,0,15926,3457,0,9,6282,516,0,76.405698,15926
2018-04-28,LCV,Twitter,Republican - Vote Low,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,LCV,Twitter,Republican - Vote Medium,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,LCV,Twitter,Republican - Vote High,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,LCV,Twitter,Persaudables - Vote Medium,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,LCV,Twitter,Persaudables - Vote High,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,LCV,Twitter,Democrats - Vote Low,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,LCV,Twitter,Democrats  - Vote Medium,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,LCV,Twitter,Democrats - Vote High,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,LCV,Twitter,Persaudables - Vote Low,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,LCV,Google,Unspecified (Phase 1),0,0,0,0,0,0,0,0,0,0,0
2018-04-28,LCV,Google,Republican - Vote Low,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,LCV,Google,Republican - Vote Medium,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,LCV,Google,Republican - Vote High,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,LCV,Google,Persaudables - Vote Medium,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,LCV,Google,Persaudables - Vote High,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,LCV,Google,Democrats - Vote Low,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,LCV,Google,Democrats  - Vote Medium,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,LCV,Google,Democrats - Vote High,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,LCV,Google,Persaudables - Vote Low,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,Planned Parenthood,Facebook,Unspecified (Phase 1),0,0,0,0,0,0,0,0,0,0,0
2018-04-28,Planned Parenthood,Facebook,Republican - Vote Low,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,Planned Parenthood,Facebook,Republican - Vote Medium,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,Planned Parenthood,Facebook,Republican - Vote High,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,Planned Parenthood,Facebook,Persaudables - Vote Medium,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,Planned Parenthood,Facebook,Persaudables - Vote High,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,Planned Parenthood,Facebook,Democrats - Vote Low,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,Planned Parenthood,Facebook,Democrats  - Vote Medium,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,Planned Parenthood,Facebook,Democrats - Vote High,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,Planned Parenthood,Facebook,Persaudables - Vote Low,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,Planned Parenthood,Twitter,Unspecified (Phase 1),0,0,0,0,0,0,0,0,0,0,0
2018-04-28,Planned Parenthood,Twitter,Republican - Vote Low,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,Planned Parenthood,Twitter,Republican - Vote Medium,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,Planned Parenthood,Twitter,Republican - Vote High,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,Planned Parenthood,Twitter,Persaudables - Vote Medium,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,Planned Parenthood,Twitter,Persaudables - Vote High,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,Planned Parenthood,Twitter,Democrats - Vote Low,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,Planned Parenthood,Twitter,Democrats  - Vote Medium,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,Planned Parenthood,Twitter,Democrats - Vote High,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,Planned Parenthood,Twitter,Persaudables - Vote Low,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,Planned Parenthood,Google,Unspecified (Phase 1),0,0,0,0,0,0,0,0,0,0,0
2018-04-28,Planned Parenthood,Google,Republican - Vote Low,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,Planned Parenthood,Google,Republican - Vote Medium,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,Planned Parenthood,Google,Republican - Vote High,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,Planned Parenthood,Google,Persaudables - Vote Medium,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,Planned Parenthood,Google,Persaudables - Vote High,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,Planned Parenthood,Google,Democrats - Vote Low,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,Planned Parenthood,Google,Democrats  - Vote Medium,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,Planned Parenthood,Google,Democrats - Vote High,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,Planned Parenthood,Google,Persaudables - Vote Low,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,Progress Michigan,Facebook,Unspecified (Phase 1),0,0,0,0,0,0,0,0,0,0,0
2018-04-28,Progress Michigan,Facebook,Republican - Vote Low,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,Progress Michigan,Facebook,Republican - Vote Medium,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,Progress Michigan,Facebook,Republican - Vote High,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,Progress Michigan,Facebook,Persaudables - Vote Medium,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,Progress Michigan,Facebook,Persaudables - Vote High,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,Progress Michigan,Facebook,Democrats - Vote Low,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,Progress Michigan,Facebook,Democrats  - Vote Medium,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,Progress Michigan,Facebook,Democrats - Vote High,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,Progress Michigan,Facebook,Persaudables - Vote Low,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,Progress Michigan,Twitter,Unspecified (Phase 1),0,0,0,0,0,0,0,0,0,0,0
2018-04-28,Progress Michigan,Twitter,Republican - Vote Low,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,Progress Michigan,Twitter,Republican - Vote Medium,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,Progress Michigan,Twitter,Republican - Vote High,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,Progress Michigan,Twitter,Persaudables - Vote Medium,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,Progress Michigan,Twitter,Persaudables - Vote High,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,Progress Michigan,Twitter,Democrats - Vote Low,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,Progress Michigan,Twitter,Democrats  - Vote Medium,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,Progress Michigan,Twitter,Democrats - Vote High,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,Progress Michigan,Twitter,Persaudables - Vote Low,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,Progress Michigan,Google,Unspecified (Phase 1),0,0,0,0,0,0,0,0,0,0,0
2018-04-28,Progress Michigan,Google,Republican - Vote Low,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,Progress Michigan,Google,Republican - Vote Medium,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,Progress Michigan,Google,Republican - Vote High,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,Progress Michigan,Google,Persaudables - Vote Medium,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,Progress Michigan,Google,Persaudables - Vote High,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,Progress Michigan,Google,Democrats - Vote Low,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,Progress Michigan,Google,Democrats  - Vote Medium,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,Progress Michigan,Google,Democrats - Vote High,0,0,0,0,0,0,0,0,0,0,0
